City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description,Rain (Inches),Snow (Inches)
135,Phonhong,LA,18.5,102.42,75.87,89,75,1.21,broken clouds,0.0,0.0
136,Kaitangata,NZ,-46.28,169.85,42.48,77,62,2.95,broken clouds,0.0,0.0
137,Chingola,ZM,-12.53,27.88,68.09,50,29,5.06,scattered clouds,0.0,0.0
138,Yenagoa,NG,4.92,6.26,77.77,92,100,5.3,overcast clouds,0.0,0.0
139,Georgetown,MY,5.41,100.34,80.6,94,40,4.7,scattered clouds,0.0,0.0
140,Vanimo,PG,-2.67,141.3,78.89,84,98,7.02,light rain,0.0,0.0
141,Foam Lake,CA,51.65,-103.53,64.8,38,0,8.25,clear sky,0.0,0.0
142,Matay,EG,28.42,30.78,76.44,19,0,9.44,clear sky,0.0,0.0
143,Vostok,RU,46.49,135.88,53.49,59,0,5.46,clear sky,0.0,0.0
144,Lubango,AO,-14.92,13.49,61.95,31,7,4.72,clear sky,0.0,0.0
145,Egvekinot,RU,66.32,-179.17,35.47,86,0,4.76,clear sky,0.0,0.0
146,Salgar,CO,5.96,-75.97,66.2,100,75,4.7,thunderstorm with light rain,0.0,0.0
147,Hasaki,JP,35.73,140.83,63.0,100,100,3.36,fog,0.0,0.0
148,Kununurra,AU,-15.77,128.73,68.0,72,98,2.17,overcast clouds,0.0,0.0
149,Rocha,UY,-34.48,-54.33,70.56,66,61,7.14,broken clouds,0.0,0.0
150,Gwadar,PK,25.12,62.33,85.28,78,0,2.86,clear sky,0.0,0.0
151,Baykit,RU,61.67,96.37,48.9,80,100,3.31,overcast clouds,0.0,0.0
152,Quibdo,CO,5.69,-76.66,77.0,94,90,5.82,light intensity drizzle,0.0,0.0
153,Vardo,NO,70.37,31.11,42.75,74,98,16.17,overcast clouds,0.0,0.0
154,Kapaa,US,22.08,-159.32,75.2,83,90,11.41,overcast clouds,0.0,0.0
155,Santa Maria,BR,-29.68,-53.81,73.87,55,94,4.79,overcast clouds,0.0,0.0
156,Witu,KE,-2.39,40.44,78.26,83,22,12.5,few clouds,0.0,0.0
157,Zhigansk,RU,66.77,123.37,37.4,77,99,10.29,overcast clouds,0.0,0.0
158,Klyuchi,RU,52.27,79.17,59.61,56,1,3.83,clear sky,0.0,0.0
159,Burhar,IN,23.22,81.53,87.37,31,21,4.43,few clouds,0.0,0.0
160,Longyearbyen,SJ,78.22,15.64,37.4,86,40,5.82,scattered clouds,0.0,0.0
161,Chokurdakh,RU,70.63,147.92,37.54,79,100,7.25,overcast clouds,0.0,0.0
162,Harper,LR,4.38,-7.72,79.18,88,99,10.8,moderate rain,0.1,0.0
163,Isiro,CD,2.77,27.62,71.15,94,99,1.54,overcast clouds,0.0,0.0
164,Karasjok,NO,69.47,25.51,44.6,81,99,17.22,overcast clouds,0.0,0.0
165,Muriti,TZ,-1.98,32.92,75.99,59,19,5.57,few clouds,0.0,0.0
166,Hovd,MN,48.01,91.64,57.42,42,82,2.17,broken clouds,0.0,0.0
167,Lasa,IT,46.62,10.7,57.0,66,75,9.17,broken clouds,0.0,0.0
168,Grindavik,IS,63.84,-22.43,50.0,71,75,19.46,broken clouds,0.0,0.0
169,Hami,CN,42.8,93.45,71.01,18,15,3.58,few clouds,0.0,0.0
170,San Cristobal,VE,7.77,-72.22,86.0,58,75,3.36,broken clouds,0.0,0.0
171,Turan,VN,16.07,108.22,82.4,83,20,2.24,few clouds,0.0,0.0
172,Sitka,US,57.05,-135.33,55.4,58,75,10.29,broken clouds,0.0,0.0
173,Namatanai,PG,-3.67,152.43,79.56,81,73,3.78,broken clouds,0.0,0.0
174,Ottawa,CA,45.41,-75.7,66.99,59,75,10.29,broken clouds,0.0,0.0
175,Haimen,CN,23.19,116.61,75.2,100,94,2.24,overcast clouds,0.0,0.0
176,Airai,TL,-8.93,125.41,57.2,76,6,2.26,clear sky,0.0,0.0
177,Sepuka,TZ,-4.75,34.53,64.58,52,55,7.7,broken clouds,0.0,0.0
178,Araruna,BR,-6.56,-35.74,75.38,90,95,11.86,moderate rain,0.1,0.0
179,Gucheng,CN,35.91,111.32,67.21,59,67,2.3,broken clouds,0.0,0.0
180,Kizner,RU,56.27,51.51,61.72,79,17,4.47,few clouds,0.0,0.0
181,Carnarvon,AU,-24.87,113.63,63.79,64,77,20.83,broken clouds,0.0,0.0
182,Norrkoping,SE,58.59,16.18,66.2,39,68,12.75,broken clouds,0.0,0.0
183,Reconquista,AR,-29.15,-59.65,71.89,68,98,7.43,overcast clouds,0.0,0.0
184,Labuhan,ID,-6.88,112.21,79.92,85,82,6.11,broken clouds,0.0,0.0
185,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,86.04,66,67,2.55,light rain,0.0,0.0
186,Filingue,NE,14.35,3.32,105.08,13,44,7.14,scattered clouds,0.0,0.0
187,Vaxjo,SE,56.88,14.81,60.8,44,79,11.41,broken clouds,0.0,0.0
188,Koslan,RU,63.46,48.9,48.04,67,84,5.32,broken clouds,0.0,0.0
189,Hilo,US,19.73,-155.09,73.0,78,75,4.7,broken clouds,0.0,0.0
190,Faanui,PF,-16.48,-151.75,80.8,81,4,20.13,light rain,0.0,0.0
191,Teknaf,BD,20.86,92.31,81.86,82,24,3.91,few clouds,0.0,0.0
192,Bambous Virieux,MU,-20.34,57.76,71.6,88,20,2.24,few clouds,0.0,0.0
193,Kampot,KH,10.62,104.18,80.6,88,20,3.04,few clouds,0.0,0.0
194,Sretensk,RU,52.25,117.71,42.13,89,100,2.33,overcast clouds,0.0,0.0
195,Trat,TH,12.5,102.5,78.35,87,97,1.39,overcast clouds,0.0,0.0
196,Saint-Pierre,RE,-21.34,55.48,71.6,64,0,8.05,clear sky,0.0,0.0
197,Touros,BR,-5.2,-35.46,82.4,78,75,4.7,broken clouds,0.0,0.0
198,Ballina,AU,-28.87,153.57,57.99,93,81,4.7,broken clouds,0.0,0.0
199,Upernavik,GL,72.79,-56.15,30.18,93,7,4.74,clear sky,0.0,0.0
200,Alice Springs,AU,-23.7,133.88,55.4,76,40,6.93,scattered clouds,0.0,0.0
201,Boralday,KZ,43.36,76.86,64.4,48,20,2.24,few clouds,0.0,0.0
202,San Patricio,MX,19.22,-104.7,80.6,69,40,11.41,scattered clouds,0.0,0.0
203,Castro,BR,-24.79,-50.01,68.56,55,1,6.17,clear sky,0.0,0.0
204,Coquimbo,CL,-29.95,-71.34,59.0,82,75,4.7,light intensity shower rain,0.0,0.0
205,Churapcha,RU,62.0,132.43,32.27,85,0,4.5,clear sky,0.0,0.0
206,Starokozache,UA,46.34,29.99,57.2,87,40,8.95,scattered clouds,0.0,0.0
207,Isangel,VU,-19.55,169.27,74.25,82,19,2.3,few clouds,0.0,0.0
208,Changli,CN,39.7,119.15,66.52,66,99,6.78,overcast clouds,0.0,0.0
209,Guerrero Negro,MX,27.98,-114.06,72.45,57,0,17.96,clear sky,0.0,0.0
210,Solnechnyy,RU,50.72,136.63,56.05,94,65,3.2,broken clouds,0.0,0.0
211,Rankovce,MK,42.17,22.12,66.2,48,75,6.93,broken clouds,0.0,0.0
212,Waingapu,ID,-9.66,120.26,76.44,85,3,7.2,clear sky,0.0,0.0
213,Sabang,ID,5.89,95.32,84.06,74,100,5.19,overcast clouds,0.0,0.0
214,Qasigiannguit,GL,68.82,-51.19,37.4,64,20,9.17,few clouds,0.0,0.0
215,Zyryanka,RU,65.75,150.85,42.46,63,100,18.16,overcast clouds,0.0,0.0
216,Itarema,BR,-2.92,-39.92,81.93,80,99,7.76,light rain,0.0,0.0
217,Cap Malheureux,MU,-19.98,57.61,71.01,84,2,3.0,clear sky,0.0,0.0
218,Esperance,AU,-33.87,121.9,51.8,81,75,21.92,broken clouds,0.0,0.0
219,Chapais,CA,49.78,-74.85,42.8,43,90,9.17,overcast clouds,0.0,0.0
220,Grand Gaube,MU,-20.01,57.66,71.01,84,1,3.0,clear sky,0.0,0.0
221,Nikolskoye,RU,59.7,30.79,64.4,31,1,13.42,clear sky,0.0,0.0
222,Bartica,GY,6.4,-58.62,82.4,88,75,9.17,shower rain,0.0,0.0
223,College,US,64.86,-147.8,68.0,39,75,5.82,broken clouds,0.0,0.0
224,Komyshuvakha,UA,47.72,35.53,57.99,92,94,16.08,light rain,0.0,0.0
225,Natal,BR,-5.79,-35.21,84.2,74,75,8.05,broken clouds,0.0,0.0
226,Guapiacu,BR,-20.8,-49.22,75.52,43,0,5.44,clear sky,0.0,0.0
227,Sazonovo,RU,59.09,35.23,55.8,60,67,9.62,broken clouds,0.0,0.0
228,Lebu,CL,-37.62,-73.65,53.58,53,0,17.54,clear sky,0.0,0.0
229,Pacific Grove,US,36.62,-121.92,66.2,68,90,6.93,light rain,0.0,0.0
230,Ewa Beach,US,21.32,-158.01,73.4,78,20,4.7,few clouds,0.0,0.0
231,Port Pirie,AU,-33.18,138.02,48.2,93,19,8.05,few clouds,0.0,0.0
232,Okhotsk,RU,59.38,143.3,38.93,71,0,5.84,clear sky,0.0,0.0
233,Salalah,OM,17.02,54.09,77.0,100,90,8.05,moderate rain,0.0,0.0
234,Palmares Do Sul,BR,-30.26,-50.51,70.45,58,59,5.77,broken clouds,0.0,0.0
235,Tutoia,BR,-2.76,-42.27,80.65,84,100,4.09,light rain,0.0,0.0
236,North Bend,US,43.41,-124.22,57.0,93,90,9.17,overcast clouds,0.0,0.0
237,Aranos,NA,-24.13,19.12,65.35,24,0,10.27,clear sky,0.0,0.0
238,Bengkulu,ID,-3.8,102.27,77.38,88,98,5.64,overcast clouds,0.0,0.0
239,Port Augusta,AU,-32.5,137.77,48.2,93,24,8.05,few clouds,0.0,0.0
240,Svetlyy,RU,54.67,20.13,57.2,71,89,17.9,overcast clouds,0.0,0.0
241,Waitati,NZ,-45.75,170.57,46.99,81,78,8.99,broken clouds,0.0,0.0
242,Semey,KZ,50.41,80.23,62.6,36,20,6.71,few clouds,0.0,0.0
243,Sisimiut,GL,66.94,-53.67,38.88,73,1,11.83,clear sky,0.0,0.0
244,Mount Isa,AU,-20.73,139.5,64.4,31,2,6.35,clear sky,0.0,0.0
245,Nur,PL,52.67,22.32,55.0,83,100,5.99,moderate rain,0.1,0.0
246,Ambilobe,MG,-13.2,49.05,74.21,89,29,2.57,light rain,0.0,0.0
247,Yeppoon,AU,-23.13,150.73,60.8,82,6,8.57,clear sky,0.0,0.0
248,Jucuaran,SV,13.25,-88.25,77.0,100,75,6.93,moderate rain,0.0,0.0
249,Saldanha,ZA,-33.01,17.94,60.8,77,0,4.7,clear sky,0.0,0.0
250,Alofi,NU,-19.06,-169.92,75.2,100,8,3.36,clear sky,0.0,0.0
251,Sorland,NO,67.67,12.69,46.92,95,41,7.94,scattered clouds,0.0,0.0
252,Aransas Pass,US,27.91,-97.15,87.01,62,75,8.05,broken clouds,0.0,0.0
253,Jensen Beach,US,27.25,-80.23,90.0,66,75,8.05,broken clouds,0.0,0.0
254,Aklavik,CA,68.22,-135.01,37.4,74,20,6.93,few clouds,0.0,0.0
255,Esik,KZ,43.36,77.45,64.4,48,20,2.24,few clouds,0.0,0.0
256,Balkanabat,TM,39.51,54.37,95.02,10,0,11.39,clear sky,0.0,0.0
257,Tasiilaq,GL,65.61,-37.64,37.4,86,75,20.8,broken clouds,0.0,0.0
258,Buta,CD,2.79,24.73,72.55,92,98,2.66,overcast clouds,0.0,0.0
259,Mustasaari,FI,63.11,21.68,59.0,33,22,11.41,few clouds,0.0,0.0
260,Ekibastuz,KZ,51.67,75.37,64.18,47,6,5.14,clear sky,0.0,0.0
261,Kismayo,SO,-0.36,42.55,80.6,81,97,15.68,overcast clouds,0.0,0.0
262,Taoudenni,ML,22.68,-3.98,108.45,6,0,3.89,clear sky,0.0,0.0
263,Yumen,CN,40.28,97.2,61.0,26,0,12.21,clear sky,0.0,0.0
264,Batagay,RU,67.63,134.63,29.75,91,0,1.52,clear sky,0.0,0.0
265,Rapar,IN,23.57,70.63,83.55,79,12,17.29,few clouds,0.0,0.0
266,Ponta Do Sol,PT,32.67,-17.1,69.8,73,40,11.41,scattered clouds,0.0,0.0
267,Korla,CN,41.76,86.15,77.27,17,99,3.38,overcast clouds,0.0,0.0
268,Inhambane,MZ,-23.86,35.38,71.6,88,20,6.93,few clouds,0.0,0.0
269,Rio Grande,BR,-32.03,-52.1,80.6,39,57,5.82,broken clouds,0.0,0.0
270,Turayf,SA,31.67,38.66,82.4,24,2,4.7,clear sky,0.0,0.0
271,Lolodorf,CM,3.23,10.73,72.63,94,98,3.09,light rain,0.0,0.0
272,Lubao,PH,14.92,120.55,82.4,88,75,2.24,broken clouds,0.0,0.0
273,Chisindia,RO,46.28,22.1,60.8,55,75,6.93,light rain,0.0,0.0
274,Wagga Wagga,AU,-35.12,147.37,55.4,76,90,5.82,overcast clouds,0.0,0.0
275,Karpathos,GR,35.51,27.21,68.0,72,20,9.17,few clouds,0.0,0.0
276,Manga,BF,11.66,-1.07,100.74,21,48,5.86,scattered clouds,0.0,0.0
277,Severnyy,RU,50.68,36.55,60.8,72,40,11.18,scattered clouds,0.0,0.0
278,Constitucion,CL,-35.33,-72.42,57.58,37,0,8.3,clear sky,0.0,0.0
279,Kahului,US,20.89,-156.47,78.8,65,40,13.87,scattered clouds,0.0,0.0
280,Priargunsk,RU,50.37,119.1,46.29,71,67,7.0,broken clouds,0.0,0.0
281,Obera,AR,-27.49,-55.12,76.89,45,30,4.14,scattered clouds,0.0,0.0
