City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Kodiak,US,2020-05-25 02:00:34,57.79,-152.41,55.4,50,20,17.22
106,East London,ZA,2020-05-25 02:00:34,-33.02,27.91,72.34,32,1,14.03
107,Cherskiy,RU,2020-05-25 02:00:34,68.75,161.3,43.92,54,0,7.09
108,Ilulissat,GL,2020-05-25 02:00:34,69.22,-51.1,33.8,86,100,12.75
109,Albany,US,2020-05-25 01:57:01,42.6,-73.97,68.0,69,58,7.14
110,Nishihara,JP,2020-05-25 02:00:34,26.18,127.76,80.6,74,75,10.29
111,Deputatskiy,RU,2020-05-25 02:00:35,69.3,139.9,43.32,85,100,3.62
112,Srednekolymsk,RU,2020-05-25 02:00:35,67.45,153.68,48.72,44,19,3.67
113,Waw,SS,2020-05-25 02:00:40,7.7,28.0,76.32,76,30,5.84
114,Batetskiy,RU,2020-05-25 02:00:40,58.65,30.3,41.43,72,73,1.03
115,Freeport,US,2020-05-25 01:58:35,40.66,-73.58,59.0,93,75,11.41
116,Butaritari,KI,2020-05-25 02:00:40,3.07,172.79,83.12,80,18,11.21
117,Mitu,CO,2020-05-25 02:00:40,1.2,-70.17,73.08,91,28,2.28
118,Lakhnadon,IN,2020-05-25 02:00:40,22.6,79.6,94.98,15,16,16.04
119,Dikson,RU,2020-05-25 02:00:41,73.51,80.55,31.42,99,100,13.6
120,Krasnoselkup,RU,2020-05-25 02:00:41,65.7,82.47,42.64,60,78,11.41
121,Airai,TL,2020-05-25 02:00:41,-8.93,125.41,73.71,77,83,0.09
122,Lagos,NG,2020-05-25 01:56:13,6.58,3.75,80.6,88,40,2.24
123,Poum,NC,2020-05-25 02:00:41,-20.23,164.02,67.78,85,100,10.98
124,Faanui,PF,2020-05-25 02:00:41,-16.48,-151.75,81.5,82,100,15.82
125,Kruisfontein,ZA,2020-05-25 02:00:41,-34.0,24.73,50.09,89,7,3.83
126,Mae Sai,TH,2020-05-25 02:00:42,20.43,99.88,82.99,69,0,1.12
127,Mopipi,BW,2020-05-25 02:00:42,-21.18,24.88,53.15,43,0,7.02
128,Castro,BR,2020-05-25 01:56:56,-24.79,-50.01,47.25,91,20,3.31
129,Iralaya,HN,2020-05-25 02:00:43,15.0,-83.23,82.62,84,100,10.31
130,Takoradi,GH,2020-05-25 02:00:43,4.88,-1.76,79.43,85,79,9.55
131,Trstena,SK,2020-05-25 02:00:43,49.36,19.61,42.8,81,40,16.11
132,Kamennogorsk,RU,2020-05-25 02:00:43,60.95,29.13,43.0,66,99,1.12
133,Mount Gambier,AU,2020-05-25 01:59:06,-37.83,140.77,51.8,76,0,5.82
134,Maidens,GB,2020-05-25 02:00:43,55.33,-4.81,46.4,87,40,2.24
135,Tuatapere,NZ,2020-05-25 02:00:43,-46.13,167.68,51.04,85,98,3.24
136,Kisanga,TZ,2020-05-25 02:00:43,-7.44,37.7,68.4,91,22,1.36
