,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
366,Pangai,TO,79.3,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
375,Wenchi,GH,79.09,moderate rain,7.74,-2.1,Ebenezer Hotel
379,Jalu,LY,83.3,clear sky,29.03,21.55,Jalu Hotel
380,Russellville,US,81.0,clear sky,35.28,-93.13,Hampton Inn Russellville
382,Tual,ID,81.64,broken clouds,-5.67,132.75,Grand Vilia Hotel
388,Pundaguitan,PH,84.45,light rain,6.37,126.17,Leonardo Family Beach House 1
392,Narasannapeta,IN,82.87,overcast clouds,18.42,84.05,G.lingaraju home
394,Monrovia,LR,86.0,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
395,Cockburn Town,TC,82.13,clear sky,21.46,-71.14,Osprey Beach Hotel
398,Ndele,CF,81.27,broken clouds,8.41,20.65,
401,Eydhafushi,MV,79.84,light rain,5.1,73.07,Soneva Fushi
402,Freeport,US,81.0,clear sky,40.66,-73.58,The Freeport Inn and Marinad
404,Lago Da Pedra,BR,84.18,broken clouds,-4.33,-45.17,
412,Ternate,ID,80.8,clear sky,0.8,127.4,Grand Dafam Bela Ternate
413,Sechura,PE,80.04,clear sky,-5.56,-80.82,Hospedaje Costa Bella
415,Farmington,US,82.4,clear sky,36.73,-108.22,Courtyard by Marriott Farmington
417,Fomboni,KM,80.89,clear sky,-12.28,43.74,Auberge les abou
418,Rock Sound,BS,79.05,clear sky,24.9,-76.2,Rock Sound Club
421,Point Pleasant,US,82.99,few clouds,40.08,-74.07,Point Pleasant Manor
422,Simbahan,PH,84.29,light rain,6.3,120.58,
424,Eenhana,,75.2,clear sky,-17.47,16.33,Hotel Litu
427,Yaan,NG,83.68,overcast clouds,7.38,8.57,
431,Quelimane,MZ,77.0,few clouds,-17.88,36.89,Hotel Flamingo
433,Sur,OM,91.04,broken clouds,22.57,59.53,Sur Plaza Hotel
435,Jacksonville,US,90.0,broken clouds,30.33,-81.66,Hyatt Regency Jacksonville Riverfront
437,Dingle,PH,78.12,clear sky,11.0,122.67,Camp Pasica
441,Westport,US,79.0,scattered clouds,41.14,-73.36,The Westport Inn
442,Vitoria,BR,78.8,few clouds,-20.32,-40.34,Hotel Prata
444,Unai,BR,75.07,clear sky,-16.36,-46.91,Hotel Regente
445,Cachoeiro De Itapemirim,BR,76.57,clear sky,-20.85,-41.11,Bristol Easy Hotel - Cachoeiro
447,Agadez,NE,91.15,clear sky,19.75,10.25,
452,Lewiston,US,80.01,scattered clouds,44.1,-70.21,Hilton Garden Inn Auburn Riverwatch
454,Berbera,SO,91.53,overcast clouds,10.44,45.01,Damal Hotel
455,Wanning,CN,81.75,overcast clouds,18.8,110.4,Paradise Hotel
462,Wamba,NG,81.54,light rain,8.93,8.6,Roma Zee Guest House Annex
464,Kericho,KE,75.2,scattered clouds,-0.37,35.28,Hills Country Lodge
466,Bathsheba,BB,87.8,few clouds,13.22,-59.52,Atlantis Hotel
468,Ilebo,CD,75.67,broken clouds,-4.32,20.58,Hôtel des palmes
475,Kannur,IN,77.0,thunderstorm with light rain,11.87,75.36,Asokam Beach Resort
476,Piedras Negras,MX,86.0,broken clouds,28.7,-100.52,Holiday Inn Express & Suites Eagle Pass
477,Kavaratti,IN,84.02,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
479,Gamba,GA,76.3,overcast clouds,-2.65,10.0,
481,Muisne,EC,84.2,broken clouds,0.6,-80.03,Quinta Samay
486,Ipixuna,BR,78.8,thunderstorm with rain,-1.76,-48.8,Casa da Oscarina
491,Manavalakurichi,IN,82.4,mist,8.13,77.3,Udaya Boys Hostel
493,Virginia Beach,US,82.99,broken clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
494,Carutapera,BR,80.55,light rain,-1.2,-46.02,Lidera
495,Chingirlau,KZ,77.65,overcast clouds,51.09,54.08,
498,Ugoofaaru,MV,79.79,light rain,5.67,73.0,Ungoofaaru Inn
499,Santa Rosa,PH,84.0,scattered clouds,14.31,121.11,Hungry Soles Studios
500,Agadir,MA,75.2,overcast clouds,30.42,-9.6,Iberostar Founty Beach
501,Puerto Maldonado,PE,84.2,scattered clouds,-12.6,-69.18,Wasai Hotel
502,Pehowa,IN,82.71,light rain,29.98,76.58,Hotel Kwality
506,Bridgetown,BB,87.8,few clouds,13.1,-59.62,Hilton Barbados Resort
507,Hambantota,LK,81.19,few clouds,6.12,81.12,Bungalow 63
508,Sinnamary,GF,83.19,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
509,Alenquer,BR,86.0,few clouds,-1.94,-54.74,Detinha Hotel
511,Cabo San Lucas,MX,87.01,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
512,Kalmunai,LK,82.15,few clouds,7.42,81.82,VS Villa
513,Kaka,TM,82.89,clear sky,37.35,59.61,
514,Grand-Lahou,CI,80.89,overcast clouds,5.14,-5.02,Hotel Beatitude de Grand Lahou
515,Puerto Colombia,CO,82.4,overcast clouds,10.99,-74.95,Hotel El Emigrante
518,Renigunta,IN,87.94,overcast clouds,13.65,79.52,Appanna Rest House
519,Alta Floresta,BR,84.74,broken clouds,-9.88,-56.09,Floresta Amazonica Hotel
525,Nishihara,JP,80.6,broken clouds,26.18,127.76,Minshuku Agaihama
526,Ranong,TH,81.48,broken clouds,9.97,98.63,Tinidee Hotel@Ranong
528,Tiarei,PF,78.01,few clouds,-17.53,-149.33,Le Rocher de Tahiti
530,Abha,SA,77.0,clear sky,18.22,42.51,Abha Hotel
534,Pachmarhi,IN,80.64,few clouds,22.47,78.43,TBT Budget Stays
542,Walvis Bay,,75.2,clear sky,-22.96,14.51,Oyster Box Guesthouse
545,Port-Gentil,GA,80.6,broken clouds,-0.72,8.78,Fengshui Residence
546,Acari,PE,79.38,clear sky,-15.43,-74.62,Hospedaje Ximens
549,Asyut,EG,78.8,clear sky,27.18,31.18,Florence Hotel Assiut
550,Bloomingdale,US,91.99,scattered clouds,27.89,-82.24,Travel Club for Free
551,Gunjur,GM,84.2,overcast clouds,13.2,-16.73,Kuba Lodge
552,Caranavi,BO,80.22,overcast clouds,-15.82,-67.55,Hotel Landivar
555,Grants,US,84.2,clear sky,35.15,-107.85,"Motel 6 Grants, NM"
565,Lamar,US,82.99,clear sky,33.67,-95.58,Kings Inn Paris TX
570,Ambajogai,IN,91.42,scattered clouds,18.73,76.38,Hotel Krushnai
572,Ixtapa,MX,81.0,overcast clouds,20.7,-105.2,Container Inn Puerto Vallarta
